id,status_group
69572,0
8776,0
34310,0
67743,2
19728,0
9944,0
19816,2
54551,2
53934,2
46144,0
49056,0
50409,0
36957,0
50495,0
53752,0
61848,0
48451,2
58155,2
34169,1
18274,0
48375,0
6091,0
58500,1
37862,0
51058,0
22308,1
55012,0
20145,0
19685,2
69124,0
46804,0
6696,0
57238,1
12402,0
41583,0
57355,2
67359,2
60048,0
16583,0
25,2
70238,0
12796,0
52019,0
19282,2
1843,1
12958,2
45111,1
13620,0
18864,0
25182,0
3228,0
19308,2
10745,0
32376,2
9417,0
68724,2
74197,0
22961,2
24593,0
31714,1
29952,0
40393,2
2127,1
8265,2
67433,0
51072,2
34255,0
22108,2
4720,2
54801,2
21990,2
17386,2
41609,2
35715,2
53970,0
62971,2
63542,0
15622,0
12903,2
52561,0
19415,0
65531,1
3675,0
34383,0
30423,2
68717,2
3688,0
30537,2
27312,2
22143,1
43237,1
62591,2
39920,2
70892,0
48593,2
26419,0
68554,2
29083,0
33379,1
43206,2
41743,2
17970,0
25693,0
39364,1
57580,0
23000,0
59902,0
60371,2
74246,2
7116,0
64063,2
59983,0
10784,0
49503,0
54248,2
24409,2
21068,0
62341,2
10837,0
35458,2
36038,2
64447,0
22897,2
2915,0
14016,0
69525,2
73061,0
42031,0
33235,2
41839,2
62002,0
6106,0
25915,0
20673,0
59475,0
24012,0
69107,2
64062,2
44002,0
37471,0
49585,2
60852,0
64130,2
17687,0
38876,2
28669,0
73769,1
66521,0
53167,2
24232,0
65788,0
72981,0
60983,2
37768,2
64880,0
32871,2
45564,0
23519,1
50173,0
66843,0
13815,0
36591,2
71845,0
42180,0
63632,0
55594,0
11787,0
48528,2
72678,0
50970,0
37840,0
44258,2
10715,0
12120,0
67980,2
41635,0
14884,0
56725,2
33037,0
22190,2
47459,0
68908,0
62670,0
60866,2
2136,0
33320,0
58126,2
45604,0
67428,1
52318,0
33347,2
36684,0
41034,0
112,2
4807,0
41845,0
6065,0
37187,2
26540,2
8879,1
30377,0
20203,2
8060,0
59630,0
10068,1
34609,2
26701,0
46897,0
34636,2
52520,0
75,2
31626,2
3181,2
43098,2
37008,1
34853,2
48752,1
31132,0
37562,0
28740,1
30257,0
53212,1
40729,2
48695,0
35140,2
46814,0
7721,0
63695,0
7171,0
58838,0
61046,0
68347,2
14746,1
14952,2
64334,2
72374,2
33169,2
4907,1
49994,1
59588,2
46893,2
16944,2
35828,2
24377,2
51694,0
70241,2
1780,0
39490,0
21704,0
35193,2
24948,0
6076,0
18451,2
13042,1
34877,0
10891,2
33500,2
1012,2
4321,0
41162,2
31957,2
15815,2
47462,2
28110,2
52448,0
18832,2
62720,1
14326,0
36933,0
65093,0
50139,2
36455,2
49732,0
20200,0
43777,0
42497,2
52601,0
65530,2
73024,0
18842,1
9474,0
44434,0
36366,0
47236,2
8633,1
71487,0
46268,2
36093,0
2591,0
69669,2
67377,2
51185,2
24049,0
70835,0
74176,0
68037,0
10992,2
45886,2
64793,2
40808,2
62565,0
70379,0
10089,0
37364,2
43345,0
39310,2
59713,0
28945,1
5074,1
54009,2
35563,2
17668,2
30390,2
1298,2
2993,2
63712,2
61979,0
39704,2
29191,2
35649,1
15840,1
45415,1
8055,0
51403,2
33963,0
21669,2
7900,0
337,0
17861,0
13195,2
54722,2
2845,0
17111,0
21338,0
49326,0
15358,0
33040,2
40592,2
29513,0
51163,0
40920,0
65101,0
21127,2
67822,0
14135,0
10458,2
32089,0
8230,2
43433,0
62188,0
19,0
26577,0
68887,1
9382,0
65238,1
17897,1
29744,2
23987,1
26655,2
17978,0
51558,2
48007,2
25534,0
13969,0
39548,2
25143,0
25736,0
17516,0
66980,0
45444,0
59310,0
59102,0
61883,0
93,0
15988,2
19304,2
44092,0
66242,1
51611,1
53847,0
67634,0
24757,1
37524,0
16341,0
39176,0
24836,0
73470,2
11533,2
74217,0
7007,0
4101,0
17041,2
38725,0
39749,2
62642,2
49453,0
63018,0
65932,2
56863,2
23835,0
34870,2
39915,0
9736,0
70019,2
20984,2
20132,0
5963,0
3740,0
26943,1
43742,0
5784,2
42548,2
5121,2
57478,0
58537,1
3627,2
4062,0
15832,2
34741,0
67097,0
4437,0
65817,0
39559,2
54412,0
25344,2
2301,2
32844,2
59874,2
50233,2
29639,0
65584,0
43808,2
6788,0
51220,0
16872,1
66383,2
58599,0
29383,2
36809,2
29753,0
72112,2
34926,2
59898,1
779,0
68126,0
48102,1
24794,0
29771,0
29052,0
4923,0
38642,2
27079,0
60111,0
12478,2
67155,0
54733,0
45654,2
54678,0
1439,0
16313,0
6735,0
3328,2
1220,0
57970,0
44204,0
63675,0
40519,2
66382,0
45386,2
43604,2
59053,0
1030,2
52677,0
1738,0
19548,0
30897,2
27523,0
815,0
14910,2
11184,0
49071,1
22000,0
60074,1
60374,2
25913,0
6205,2
48390,2
3980,2
11905,0
45320,2
31264,0
16537,0
9096,1
33104,0
11754,2
4147,2
53577,1
42476,0
68995,2
32255,2
8699,0
1203,0
70666,2
26293,2
44358,2
64687,2
71489,2
61994,0
42306,2
67453,0
11581,2
14123,1
18266,0
59263,0
6387,0
28359,2
17571,0
53558,0
66967,0
72238,0
12207,0
68495,0
19283,0
38565,2
3522,0
21927,2
60029,2
26851,0
41968,0
38379,0
54983,0
68333,0
65944,2
5947,0
42347,0
67371,2
64048,0
42733,2
4133,2
50124,2
69502,2
45876,0
52402,2
24691,0
67950,0
19232,2
65266,0
48401,2
53972,1
59369,2
21737,0
13211,2
63864,0
30174,0
70930,0
36823,2
63746,0
24331,0
41174,0
70070,1
31332,0
11011,0
12245,0
68493,2
5946,2
27334,2
60626,0
69018,0
49196,0
26839,0
58681,2
70584,0
6758,0
65476,1
63687,2
49678,2
57948,2
42350,2
4526,2
51133,0
70054,2
48080,0
12552,0
52707,0
68660,2
64257,2
46719,2
17219,2
29658,0
14992,2
56386,2
8757,0
13727,2
22928,2
63748,2
42195,1
36067,1
54113,0
59405,0
62511,0
23315,0
40509,0
45093,2
45889,2
71634,0
15250,2
32245,0
3777,0
71658,2
48546,2
11957,1
49862,2
38775,0
66760,0
61574,0
57395,0
21830,2
18225,2
25165,1
67199,0
22385,0
4636,0
35726,0
6939,0
31692,0
47016,0
53147,2
27776,0
17242,0
53218,2
60433,0
48033,1
58642,2
7420,2
11811,0
54548,2
54848,2
32336,0
26535,2
71856,0
53518,2
11087,0
14701,0
11447,1
23819,2
27069,2
21064,0
36711,0
37750,2
47102,0
13734,0
50708,2
38763,0
38220,0
5060,1
29153,1
53985,2
6519,0
47117,2
20625,1
46110,2
72474,0
623,2
27561,0
52067,2
6757,0
54596,0
67545,0
51355,2
28846,0
13685,0
7863,2
55543,0
63908,0
23407,2
57452,0
42339,0
42491,0
27128,2
28741,0
7936,1
40427,2
64144,0
15188,0
25220,0
59031,2
69979,0
25199,0
70644,0
7841,2
32699,2
25339,1
53106,0
39953,2
22679,0
32012,0
35007,2
19409,0
54670,2
36702,0
57293,0
50001,2
6002,2
46231,0
10342,0
54599,0
26302,2
24052,0
11362,2
4554,0
3873,2
1856,0
19574,1
3843,0
71216,2
42487,2
19869,2
71891,0
5875,2
63423,0
38537,0
880,0
28306,2
69377,2
492,2
11641,2
69883,0
8709,0
8316,0
32164,0
49888,2
17809,2
71837,0
36267,1
64333,0
39105,0
13866,2
42943,0
42959,1
27736,1
68179,0
19672,0
37322,1
42431,0
25766,2
70897,2
61759,0
64031,0
18488,0
13501,2
26856,2
59448,0
56471,0
17287,0
8080,0
27799,0
35558,0
63978,2
45566,2
61039,0
71895,0
968,0
3995,2
1604,1
53188,1
5562,0
10976,2
18814,2
43732,0
72282,1
69101,1
25947,0
43149,2
50383,0
49431,0
45744,1
18848,2
711,2
6044,2
2940,2
57305,2
58286,0
66643,0
12756,0
15545,0
47221,0
2414,0
11497,2
71236,0
26174,2
14985,0
41560,0
26204,0
21623,2
37757,2
59179,0
1981,0
72237,0
51820,0
23732,0
47193,2
5464,2
57085,0
59694,2
56708,0
3091,0
37039,2
13201,0
10527,2
40666,2
47783,2
47756,2
66682,2
11388,0
1605,2
10065,2
72943,2
38507,1
54163,2
27790,0
37114,0
70237,0
47075,2
61558,0
28921,2
38293,0
23288,2
50641,2
1074,2
68641,0
40102,0
51665,2
13739,0
60171,0
18825,0
7942,2
60688,0
9401,0
58495,2
41985,1
17569,0
14438,0
52390,2
37241,0
37507,0
2829,2
34664,0
16672,0
4778,0
55567,0
11871,2
27571,0
13555,2
23465,1
28822,2
50898,0
53006,0
56631,0
46988,0
4672,0
35778,2
70424,2
58389,2
11695,2
37915,2
65995,0
8988,0
12598,0
34130,2
28032,0
72055,1
14727,0
7784,2
44120,0
6424,0
146,0
56277,0
60410,0
61169,0
22244,2
61060,0
33006,0
6988,0
23156,2
54772,2
19362,0
60535,0
54055,0
6171,0
48519,2
33946,2
68894,0
36606,0
72553,0
13987,2
20639,2
21896,0
25354,0
24752,0
7691,0
61992,2
19080,0
34305,2
36513,0
41986,0
36255,2
28016,0
55033,0
18928,0
44976,0
7296,0
10085,1
15643,0
1817,0
15975,2
22396,2
2547,0
24638,1
47697,2
25000,0
52461,2
49160,2
42590,2
65061,2
25243,2
30320,0
69136,0
28993,0
25367,0
53109,2
18169,0
18729,0
40750,2
16363,2
22402,1
52686,0
50841,0
12656,2
21315,0
32543,0
73274,2
20697,2
5009,0
19781,2
56226,2
69168,0
26962,0
43964,0
72849,2
15974,2
5071,0
44480,0
54327,2
55560,0
5563,0
44490,2
4379,2
58526,0
41227,2
9069,0
32952,2
42342,2
5455,0
39280,2
43079,2
46510,2
17088,0
61476,0
44578,2
46507,0
38201,0
15306,0
20347,2
72772,2
52991,2
68844,2
16923,0
22283,0
54056,0
3968,0
33094,2
20020,0
25712,2
30261,2
38474,0
36914,0
21383,0
45754,2
61131,1
11961,0
59071,0
458,0
1678,0
32502,0
14763,2
41826,0
17360,2
62435,2
60873,0
61750,0
47384,0
11570,2
5769,0
41064,0
73337,1
2296,0
30758,0
11249,0
8975,2
15697,2
55516,0
68770,0
34340,1
73545,0
21946,0
20011,0
12096,2
52980,2
41433,2
21810,2
8064,2
72386,0
6948,0
61190,0
29182,2
5277,0
21792,2
34375,0
26402,2
65213,2
34298,0
72359,2
19234,2
1408,2
60705,2
19262,2
61177,2
15666,1
11352,0
19595,0
2523,0
51714,0
47206,0
46752,1
54871,2
30036,0
24034,0
7334,2
70461,0
74188,2
52643,2
30990,2
20637,0
52547,2
15529,0
48505,2
5968,0
17278,2
55164,0
21952,2
30140,2
23296,0
59327,0
34823,0
13244,1
14675,0
36360,0
59257,0
68473,0
6592,2
39088,0
15044,0
45312,2
25635,0
3246,2
72352,0
2427,0
15178,0
32145,0
38563,2
57980,2
58115,2
6905,0
38261,2
46317,2
47744,0
4674,2
7464,2
54386,0
58753,2
8734,0
20205,2
57641,0
3215,2
20872,0
34554,0
9793,2
43016,2
4435,0
32760,0
11879,0
10835,0
24198,2
14783,0
49627,0
16898,0
18730,2
51370,2
42001,0
45954,0
4072,0
25132,0
37522,0
9850,0
11736,0
72024,0
34272,0
27733,0
19274,0
44507,1
70026,2
21745,0
47134,0
47471,2
33789,0
48621,2
68054,2
50879,0
60376,0
27378,2
42383,0
74085,0
55074,0
46138,0
27695,0
30098,0
25576,0
10479,0
59522,2
57162,2
17413,0
2080,0
64577,0
28942,0
8686,2
9182,0
20207,2
16679,0
11991,2
2484,2
58277,2
51371,2
32063,0
69226,0
47870,0
3634,0
7061,1
46652,0
59430,2
3948,0
21067,0
31713,2
19346,0
1775,0
25178,0
30241,0
31034,0
33553,0
53697,0
13285,0
38383,0
19061,2
32551,0
21065,0
62237,2
29950,2
64684,2
6081,0
3640,2
69862,2
14082,2
71302,2
11549,2
5116,2
66603,0
20685,2
44654,2
65214,0
19542,2
20122,2
15760,0
69542,0
8263,0
66753,2
64690,2
48178,2
55522,0
38157,0
44506,2
57174,0
46378,0
58390,0
25232,0
57258,0
20382,2
26220,2
89,2
16438,2
11416,2
7221,2
20028,0
59420,0
32185,1
9770,2
45510,2
14924,2
52979,0
5291,0
46549,2
45439,2
69379,0
30775,2
40847,2
26627,0
66498,0
8465,0
782,2
62372,1
18829,2
67735,2
28909,0
44269,2
5415,0
5759,2
22936,0
66423,2
38140,2
60313,2
10242,2
46865,2
5589,2
